ts_iso,symbol,last,high,low,volume,bid,ask,delta5s,trades5s,spread_avg,spread_max,vwap_session,vwap_rolling,vwap_active,cumulative_delta,vwap_s_std,vwap_s_up1,vwap_s_dn1,vwap_s_up2,vwap_s_dn2,vwap_r_std,vwap_r_up1,vwap_r_dn1,vwap_r_up2,vwap_r_dn2,spread_now,mid,pos_in_spread,range_1m,range_5m,pos_in_session
2025-08-27T21:27:45.0000000,ES SEP25,6485.5,6485.75,6485.5,12,6485.5,6485.5,23,21,0,0,6484.74613430059,6487.05669322953,6484.74613430059,141141,2.55418716716603,6487.30032146775,6482.19194713342,6489.85450863492,6479.63775996625,0.791493363401407,6487.84818659293,6486.26519986613,6488.63967995633,6485.47370650273,0,6485.5,0.5,0.75,2.5,0.666666666666667
2025-08-27T21:27:50.0000000,ES SEP25,6485.25,6485.5,6485.25,45,6485.25,6485.25,109,88,0,0,6484.7465084557,6487.042310049,6484.7465084557,141250,2.55341628437101,6487.29992474007,6482.19309217133,6489.85334102444,6479.63967588696,0.803534250780685,6487.84584429978,6486.23877579822,6488.64937855056,6485.43524154744,0,6485.25,0.5,1,2.75,0.644444444444444
2025-08-27T21:27:55.0000000,ES SEP25,6485.75,6485.75,6485.5,20,6485.75,6485.75,37,32,0,0,6484.74676896508,6487.03633694254,6484.74676896508,141287,2.55310173864519,6487.29987070373,6482.19366722643,6489.85297244237,6479.64056548779,0.806900328978061,6487.84323727152,6486.22943661356,6488.65013760049,6485.42253628458,0,6485.75,0.5,1,2.75,0.688888888888889
2025-08-27T21:28:05.0000000,ES SEP25,6485.25,6485.5,6485.25,21,6485.25,6485.25,42,37,0,0,6484.74694328088,6487.02623428394,6484.74694328088,141329,2.55274236483735,6487.29968564572,6482.19420091604,6489.85242801056,6479.64145855121,0.813598440503658,6487.83983272444,6486.21263584344,6488.65343116495,6485.39903740293,0,6485.25,0.5,1,2.75,0.644444444444444
2025-08-27T21:28:10.0000000,ES SEP25,6485.5,6485.5,6485.25,25,6485.5,6485.5,34,31,0,0,6484.74718013647,6487.01882212857,6484.74718013647,141363,2.55232198517355,6487.29950212164,6482.1948581513,6489.85182410682,6479.64253616612,0.819043667739419,6487.83786579631,6486.19977846083,6488.65690946405,6485.3807347931,0,6485.5,0.5,1,2.75,0.666666666666667
2025-08-27T21:28:15.0000000,ES SEP25,6485.25,6485.25,6485.25,19,6485.25,6485.25,40,36,0,0,6484.74731524957,6487.01251370111,6484.74731524957,141403,2.55199234939764,6487.29930759897,6482.19532290018,6489.85129994837,6479.64333055078,0.824484768645838,6487.83699846976,6486.18802893247,6488.6614832384,6485.36354416382,0,6485.25,0.5,1,2.75,0.644444444444444
2025-08-27T21:28:20.0000000,ES SEP25,6485,6485,6485,3,6485,6485,4,4,0,0,6484.74732597003,6487.01044912922,6484.74732597003,141407,2.5519387450748,6487.29926471511,6482.19538722496,6489.85120346018,6479.64344847988,0.827126670469927,6487.83757579969,6486.18332245875,6488.66470247016,6485.35619578828,0,6485,0.5,1.25,3,0.622222222222222
2025-08-27T21:28:25.0000000,ES SEP25,6485,6485,6485,1,6485,6485,2,2,0,0,6484.74732954331,6487.00921489124,6484.74732954331,141409,2.55192087720357,6487.29925042052,6482.19540866611,6489.85117129772,6479.64348778891,0.829700824034292,6487.83891571528,6486.17951406721,6488.66861653931,6485.34981324318,0,6485,0.5,1.25,3,0.622222222222222
2025-08-27T21:28:30.0000000,ES SEP25,6485,6485,6485,1,6485,6485,33,26,0,0,6484.7473331165,6487.00862227958,6484.7473331165,141442,2.55190300920724,6487.2992361257,6482.19543010729,6489.85113913491,6479.64352709808,0.830422812310073,6487.83904509189,6486.17819946727,6488.6694679042,6485.34777665496,0,6485,0.5,1.25,3,0.622222222222222
2025-08-27T21:28:35.0000000,ES SEP25,6485,6485.25,6485,41,6485,6485,58,51,0,0,6484.7475278194,6486.99290225654,6484.7475278194,141500,2.55117633704124,6487.29870415644,6482.19635148235,6489.84988049348,6479.64517514531,0.845722709235184,6487.83862496578,6486.14717954731,6488.68434767501,6485.30145683807,0,6485,0.5,1,3,0.622222222222222
2025-08-27T21:28:40.0000000,ES SEP25,6485.25,6485.25,6485.25,13,6485.25,6485.25,19,19,0,0,6484.74762012426,6486.98811492983,6484.74762012426,141519,2.55095108746171,6487.29857121172,6482.1966690368,6489.84952229918,6479.64571794934,0.8494472217381,6487.83756215157,6486.13866770809,6488.68700937331,6485.28922048636,0,6485.25,0.5,0.75,3,0.644444444444444
2025-08-27T21:28:45.0000000,ES SEP25,6484.75,6485,6484.75,51,6484.75,6484.75,120,88,0,0,6484.74768185113,6486.96800825591,6484.74768185113,141639,2.55003341735887,6487.29771526849,6482.19764843377,6489.84774868585,6479.64761501642,0.870438282093938,6487.83844653801,6486.09756997382,6488.7088848201,6485.22713169172,0,6484.75,0.5,1,3.25,0.6
2025-08-27T21:28:50.0000000,ES SEP25,6484.25,6484.5,6484.25,73,6484.25,6484.25,129,100,0,0,6484.74725517579,6486.93338426506,6484.74725517579,141768,2.5487547779857,6487.29600995377,6482.1985003978,6489.84476473176,6479.64974561982,0.915277509043298,6487.84866177411,6486.01810675602,6488.76393928315,6485.10282924698,0,6484.25,0.5,1.5,3.75,0.555555555555556
2025-08-27T21:28:55.0000000,ES SEP25,6484.25,6484.5,6484.25,28,6484.25,6484.25,56,49,0,0,6484.74709175257,6486.92025939175,6484.74709175257,141824,2.54826485267138,6487.29535660524,6482.19882689989,6489.84362145791,6479.65056204722,0.93129947502127,6487.85155886677,6485.98895991673,6488.78285834179,6485.05766044171,0,6484.25,0.5,1.5,3.75,0.555555555555556
2025-08-27T21:29:00.0000000,ES SEP25,6484.5,6484.5,6484.25,26,6484.5,6484.5,51,45,0,0,6484.74697065802,6486.9086078955,6484.74697065802,141875,2.54780571261376,6487.29477637064,6482.19916494541,6489.84258208325,6479.6513592328,0.944629840422482,6487.85323773592,6485.96397805508,6488.79786757634,6485.01934821465,0,6484.5,0.5,1.25,3.75,0.577777777777778
2025-08-27T21:29:05.0000000,ES SEP25,6484,6484.5,6484,55,6484,6484,111,93,0,0,6484.74652112676,6486.88194566941,6484.74652112676,141986,2.54686987033866,6487.2933909971,6482.19965125642,6489.84026086744,6479.65278138609,0.97777063025917,6487.85971629967,6485.90417503915,6488.83748692993,6484.92640440889,0,6484,0.5,1.5,4,0.533333333333333
